Date,Open,High,Low,Close,Date_add,Symbol,week_of_year,week_day,avg_daily_price,Year,Month,Week
2024-08-06 00:00:00-04:00,37.34090824266644,38.00321536028851,37.25695401978126,37.900604248046875,2024-08-06,HSBC,32,Tuesday,37.62542046769577,2024,8,32
2024-08-07 00:00:00-04:00,38.60955057387136,38.73081858276405,37.99388742182555,38.04985809326172,2024-08-07,HSBC,32,Wednesday,38.34602866793067,2024,8,32
2024-08-08 00:00:00-04:00,38.236428394787104,38.53493156425459,38.16180082320099,38.45097732543945,2024-08-08,HSBC,32,Thursday,38.34603452692053,2024,8,32
2024-08-09 00:00:00-04:00,38.41366124382907,38.786791962582264,38.357690568484614,38.76813507080078,2024-08-09,HSBC,32,Friday,38.58156971142418,2024,8,32
2024-08-12 00:00:00-04:00,38.80544514739948,38.92671316429586,38.65619357215711,38.67485046386719,2024-08-12,HSBC,33,Monday,38.76580058692991,2024,8,33
2024-08-13 00:00:00-04:00,38.95469827210798,39.20656098255478,38.880074260737665,39.1785774230957,2024-08-13,HSBC,33,Tuesday,39.05497773462403,2024,8,33
2024-08-14 00:00:00-04:00,39.27185376210791,39.4117786600157,39.23454353997874,39.34648132324219,2024-08-14,HSBC,33,Wednesday,39.31616432133613,2024,8,33
2024-08-15 00:00:00-04:00,40.046100721917895,40.14871184444985,39.85953536808145,39.95281982421875,2024-08-15,HSBC,33,Thursday,40.00179193966699,2024,8,33
2024-08-16 00:00:00-04:00,40.16990382244287,40.377546546956225,40.14158612328215,40.35866928100586,2024-08-16,HSBC,33,Friday,40.26192644342177,2024,8,33
2024-08-19 00:00:00-04:00,40.69845207385677,41.06654975153792,40.6890152413007,41.04767608642578,2024-08-19,HSBC,34,Monday,40.875423288280295,2024,8,34
2024-08-20 00:00:00-04:00,40.33035968535617,40.50025149740821,40.24541377933016,40.3209228515625,2024-08-20,HSBC,34,Tuesday,40.34923695341426,2024,8,34
2024-08-21 00:00:00-04:00,40.698453920189685,40.77396298594484,40.547439389149794,40.764522552490234,2024-08-21,HSBC,34,Wednesday,40.69609471194364,2024,8,34
2024-08-22 00:00:00-04:00,40.77396127489981,40.840029904427844,40.55687812066908,40.61350631713867,2024-08-22,HSBC,34,Thursday,40.696093904283856,2024,8,34
2024-08-23 00:00:00-04:00,40.849464512341854,41.24587986839144,40.81171358357481,41.19868850708008,2024-08-23,HSBC,34,Friday,41.02643661784705,2024,8,34
2024-08-26 00:00:00-04:00,41.245880126953125,41.453522838118786,41.15149380326864,41.245880126953125,2024-08-26,HSBC,35,Monday,41.27419422382342,2024,8,35
2024-08-27 00:00:00-04:00,41.538472924597805,41.76499652384942,41.49128155822427,41.68948745727539,2024-08-27,HSBC,35,Tuesday,41.621059615986724,2024,8,35
