Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2022-06-27,Monday,ALLY,DCA_Weekly,30.88,25.00,0.80956881,385.98307612,8025.00,11919.40,30.88
2022-07-11,Monday,ALLY,DCA_Weekly,30.27,25.00,0.82594539,386.80902151,8050.00,11708.07,30.27
2022-07-18,Monday,ALLY,DCA_Weekly,30.68,25.00,0.81495505,387.62397657,8075.00,11890.96,30.68
2022-07-25,Monday,ALLY,DCA_Weekly,29.35,25.00,0.85166244,388.47563901,8100.00,11403.45,29.35
2022-08-01,Monday,ALLY,DCA_Weekly,29.94,25.00,0.83499051,389.31062952,8125.00,11656.14,29.94
2022-08-08,Monday,ALLY,DCA_Weekly,29.98,25.00,0.83399258,390.14462209,8150.00,11695.09,29.98
2022-08-15,Monday,ALLY,DCA_Weekly,31.95,25.00,0.78255500,390.92717710,8175.00,12488.81,31.95
2022-08-22,Monday,ALLY,DCA_Weekly,30.65,25.00,0.81571394,391.74289104,8200.00,12006.14,30.65
2022-08-29,Monday,ALLY,DCA_Weekly,29.73,25.00,0.84102853,392.58391957,8225.00,11669.76,29.73
2022-09-12,Monday,ALLY,DCA_Weekly,30.81,25.00,0.81144567,393.39536524,8250.00,12120.20,30.81
2022-09-19,Monday,ALLY,DCA_Weekly,29.57,25.00,0.84535835,394.24072359,8275.00,11658.98,29.57
2022-09-26,Monday,ALLY,DCA_Weekly,25.53,25.00,0.97908574,395.21980933,8300.00,10091.55,25.53
2022-10-03,Monday,ALLY,DCA_Weekly,26.18,25.00,0.95496874,396.17477807,8325.00,10371.41,26.18
2022-10-10,Monday,ALLY,DCA_Weekly,25.75,25.00,0.97091248,397.14569055,8350.00,10226.09,25.75
2022-10-17,Monday,ALLY,DCA_Weekly,26.97,25.00,0.92705857,398.07274912,8375.00,10734.83,26.97
2022-10-24,Monday,ALLY,DCA_Weekly,23.81,25.00,1.05017798,399.12292711,8400.00,9501.32,23.81
2022-10-31,Monday,ALLY,DCA_Weekly,24.95,25.00,1.00209445,400.12502156,8425.00,9982.22,24.95
2022-11-07,Monday,ALLY,DCA_Weekly,23.37,25.00,1.06962528,401.19464684,8450.00,9376.99,23.37
2022-11-14,Monday,ALLY,DCA_Weekly,25.36,25.00,0.98564323,402.18029007,8475.00,10200.96,25.36
2022-11-21,Monday,ALLY,DCA_Weekly,23.44,25.00,1.06673334,403.24702341,8500.00,9450.51,23.44
2022-11-28,Monday,ALLY,DCA_Weekly,23.61,25.00,1.05896187,404.30598528,8525.00,9544.87,23.61
2022-12-05,Monday,ALLY,DCA_Weekly,22.72,25.00,1.10030781,405.40629309,8550.00,9211.20,22.72
2022-12-12,Monday,ALLY,DCA_Weekly,23.29,25.00,1.07336665,406.47965974,8575.00,9467.40,23.29
2022-12-19,Monday,ALLY,DCA_Weekly,21.25,25.00,1.17672460,407.65638434,8600.00,8660.83,21.25
